Event.Id,text_cluster
20070804X01107,5
20001208X09357,1
20001212X23867,1
20001214X37502,4
20001206X02609,1
20001211X14610,2
20001214X36086,4
20001212X18967,1
20060814X01163,1
20111003X42104,3
20100901X31728,3
20001208X08795,2
20001211X13247,1
20050310X00296,0
20001212X16503,3
20001212X20629,3
20001213X24866,0
20101116X04443,0
20001211X10955,1
20001213X32287,3
20020917X04044,4
20001212X17889,1
20001214X37117,4
20130827X11712,3
20020816X01417,3
20001212X22261,2
20010814X01684,3
20001214X37107,4
20141217X60603,1
20001212X20754,3
20001213X25826,1
20021018X05343,1
20020411X00492,1
20001214X44050,1
20020917X02995,1
20070523X00620,2
20001212X20933,0
20001212X17065,4
20070821X01219,1
20060706X00885,0
20001205X00202,1
20020913X01601,0
20010911X01914,2
20041209X01959,1
20150127X14127,0
20001208X07619,1
20001213X29010,4
20001208X05288,0
20070313X00287,3
20001213X27800,3
20001213X34450,4
20080421X00520,3
20120612X50856,3
20001213X27249,4
20110812X85526,3
20001213X24834,1
20001214X36773,5
20001212X22875,1
20001214X44519,4
20001212X23015,5
20001214X35707,4
20120802X43816,1
20060915X01350,0
20001214X36745,4
20020917X04946,1
20001212X23812,1
20001214X40970,4
20020917X02271,1
20020327X00409,0
20001211X10098,3
20020917X03081,4
20001213X29642,2
20001206X01815,0
20001206X01880,1
20001212X20189,0
20001214X41098,4
20120817X01208,0
20120523X04047,1
20090724X12005,1
20081017X71017,0
20001207X04974,2
20001211X12012,1
20120829X74215,1
20001213X27697,4
20020917X02162,1
20100925X02732,2
20020910X01584,1
20020917X02225,0
20001211X12832,3
20001214X42541,4
20050323X00356,1
20110223X25058,3
20001214X39910,4
20001214X35807,4
20040429X00531,1
20121211X01358,0
20001212X21333,5
20100525X20302,1
20080619X00886,1
20001212X17155,3
20001211X10582,3
20001212X17919,1
20130924X85257,0
20001213X30146,1
20001212X19672,1
20010621X01239,0
20001213X35161,4
20001214X37719,4
20010402X00688,1
20090715X05743,3
20001208X07745,3
20101110X95242,1
20021021X05347,0
20001214X42633,1
20021202X05545,5
20001211X09700,1
20001206X02666,1
20001213X30158,4
20001213X30198,1
20001213X33910,3
20070924X01439,3
20001214X42266,2
20001213X28617,4
20001211X10466,2
